"game_id","idTeam","team_id","game","agg_plusminusTeam","agg_ptsTeam","agg_pctFG3Team","agg_pctFG2Team","agg_astTeam","agg_stlTeam","agg_blkTeam","agg_tovTeam","agg_pfTeam","agg_orebTeam","agg_drebTeam","agg_ftmTeam","B2BTeam","plusminusTeam","segSeason","win","opp_idTeam","opp_agg_plusminusTeam","opp_agg_ptsTeam","opp_agg_pctFG3Team","opp_agg_pctFG2Team","opp_agg_astTeam","opp_agg_stlTeam","opp_agg_blkTeam","opp_agg_tovTeam","opp_agg_pfTeam","opp_agg_orebTeam","opp_agg_drebTeam","opp_agg_ftmTeam","opp_B2BTeam","WL_diff","rest_diff"
21300041,1610612765,1610612765,3,2.66666666666667,73.6666666666667,0.236111111111111,0.356753812636166,15,5.33333333333333,3.33333333333333,13,17.6666666666667,9,19.3333333333333,14.3333333333333,FALSE,10,1,1,1610612738,-4.33333333333333,61.6666666666667,0.16025641025641,0.349056603773585,9.33333333333333,5,4.66666666666667,13,18.6666666666667,8.33333333333333,20,15.3333333333333,FALSE,0.333333333333333,0
21300042,1610612748,1610612748,4,1.75,79.25,0.3625,0.387368972746331,20,6.75,2.25,13.75,18.75,4,21.25,15.25,FALSE,10,1,1,1610612764,-6,68,0.248717948717949,0.307806141324454,15.3333333333333,6.33333333333333,3,11.6666666666667,15.3333333333333,9.33333333333333,18.6666666666667,11.6666666666667,FALSE,0.25,0
21300043,1610612753,1610612753,4,1.25,78,0.336013645224172,0.363761878316673,15,7,4.75,14,18.5,8,26.25,9.5,FALSE,21,1,1,1610612751,-1,65,0.291666666666667,0.298187444739169,15,4.33333333333333,4.33333333333333,11.3333333333333,18.6666666666667,5.33333333333333,20.3333333333333,15.3333333333333,FALSE,-0.0833333333333333,0
21300044,1610612760,1610612760,3,-5.33333333333333,60.6666666666667,0.180531975099038,0.286186931348222,8.33333333333333,6.66666666666667,3.33333333333333,11.6666666666667,17.3333333333333,8,21,15,FALSE,7,1,1,1610612756,5.33333333333333,63.6666666666667,0.161084529505582,0.339737021857923,11,6,5,10.6666666666667,13.6666666666667,9,22,11,FALSE,-0.333333333333333,0
21300045,1610612752,1610612752,3,2,57,0.201923076923077,0.307934742306266,12.3333333333333,8,4.66666666666667,12.3333333333333,13.3333333333333,6.33333333333333,19,8.33333333333333,FALSE,-9,1,0,1610612750,8,73.3333333333333,0.24,0.297309941520468,16,7,1.66666666666667,10.3333333333333,13.3333333333333,7.66666666666667,23.3333333333333,18,FALSE,-0.333333333333333,1
21300046,1610612747,1610612747,4,-6,73.75,0.305874840357599,0.304445422535211,16,4.25,4.25,12,16,8.75,25.5,12.75,FALSE,2,1,1,1610612737,-0.666666666666667,70.3333333333333,0.256038647342995,0.34639126305793,17,7.66666666666667,2.66666666666667,10,10.6666666666667,4,19.3333333333333,15.6666666666667,FALSE,-0.0833333333333333,0
21300047,1610612739,1610612739,4,-4.25,64,0.188888888888889,0.310344493528637,11.5,7.75,1.25,11.75,18.5,8.25,23.5,13,FALSE,1,1,1,1610612750,8.25,82.25,0.272592592592593,0.343174763832659,17.75,7.5,1.5,11,14,8.25,25.75,20.75,TRUE,-0.5,1
21300048,1610612755,1610612755,4,3.5,82.5,0.285455486542443,0.417286158689425,18.5,8,3.25,13,14,6.75,24.5,9.75,FALSE,-20,1,0,1610612744,7.75,84.5,0.383597883597884,0.40148580233326,22,5.75,4.5,14.5,19.75,5.5,25.75,12.5,FALSE,0.25,0
21300049,1610612763,1610612763,4,-4,76,0.263541666666667,0.363145080828299,17.25,6.25,2.25,13,17.5,8.5,24.75,13.75,FALSE,7,1,1,1610612738,-5.75,65.5,0.167067307692308,0.382482108002603,10.75,7.5,4.25,15.75,19.5,8.25,22.25,14.5,TRUE,0.25,1
21300050,1610612746,1610612746,4,1.75,84.75,0.300595238095238,0.402801358234295,20,7.5,3.25,12.5,20,9,21.75,18.5,FALSE,19,1,1,1610612745,8,78.25,0.287100313479624,0.401923648247178,12.5,5.25,4.25,15,14.75,9,27.25,19,FALSE,-0.25,1
